Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J2,RPi,PinSocket_2x20_P2.54mm_Vertical,-108.400000,-104.800000,-90.000000,bottom
BT1,Battery,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,160.900000,-113.550000,90.000000,top
C1,10uF,C_1206_3216Metric,124.581320,-108.081320,180.000000,top
C2,10uF,C_1206_3216Metric,124.581320,-110.381320,180.000000,top
C3,100nF,C_0402_1005Metric,129.418820,-117.100000,90.000000,top
C4,100nF HV,C_0603_1608Metric,130.750000,-112.450000,90.000000,top
C5,100nF HV,C_0603_1608Metric,128.400000,-110.900000,180.000000,top
C6,220nF,C_0402_1005Metric,124.218820,-117.581320,0.000000,top
C7,100nF,C_0402_1005Metric,129.418820,-115.300000,-90.000000,top
C8,22uF,C_0805_2012Metric,130.918820,-116.681320,90.000000,top
C9,22uF,C_0805_2012Metric,133.018820,-116.481320,90.000000,top
C10,100nF,C_0402_1005Metric,108.500000,-127.950000,-90.000000,top
C11,100nF,C_0402_1005Metric,109.800000,-127.400000,90.000000,top
C12,100nF,C_0402_1005Metric,118.500000,-128.400000,-90.000000,top
C13,100nF,C_0402_1005Metric,119.500000,-128.400000,90.000000,top
C14,1uF,C_0402_1005Metric,156.200000,-123.900000,180.000000,top
C15,22uF,C_0805_2012Metric,134.000000,-127.500000,90.000000,top
C16,1uF,C_0402_1005Metric,154.300000,-123.900000,180.000000,top
C17,100nF,C_0402_1005Metric,129.900000,-125.300000,0.000000,top
C18,22uF,C_0805_2012Metric,127.900000,-126.600000,-90.000000,top
C19,22pF,C_0402_1005Metric,126.400000,-126.400000,-90.000000,top
C20,100nF,C_0402_1005Metric,107.550000,-127.950000,-90.000000,top
C21,100nF,C_0402_1005Metric,111.700000,-122.000000,0.000000,top
C22,22pF,C_0402_1005Metric,109.800000,-123.080000,90.000000,top
C23,22pF,C_0402_1005Metric,108.450000,-122.050000,90.000000,top
C24,1uF,C_0402_1005Metric,109.800000,-125.100000,-90.000000,top
C25,100nF,C_0402_1005Metric,113.350000,-122.000000,0.000000,top
C26,220uF 35V,CP_Elec_10x10,115.700000,-112.932500,270.000000,top
D1,SS210,D_SMA,138.018820,-108.481320,180.000000,top
D2,SS210,D_SMA,144.718820,-110.481320,-90.000000,top
D3,BAV70,SOT-23,136.700000,-127.300000,270.000000,top
D4,6.8CA,D_SMB,123.600000,-125.600000,-90.000000,top
D5,PWR,LED_0603_1608Metric,124.100000,-121.100000,180.000000,top
D6,SS36,D_SMC,105.199999,-110.400000,0.000000,top
D7,M7,D_SMA,155.000000,-110.100000,90.000000,top
F1,2A,Fuse_1206_3216Metric,154.450000,-115.025000,180.000000,top
FB1,100R@100MHz,L_0805_2012Metric,122.949999,-119.050000,180.000000,top
H5,ToolingHole,ToolingHole_JLCSMT,106.200000,-123.800000,0.000000,top
H6,ToolingHole,ToolingHole_JLCSMT,162.100000,-117.100000,0.000000,top
J3,FTDI_RPI,PinHeader_1x06_P2.54mm_Vertical,150.500000,-128.050000,180.000000,top
